region,SA2_5DIG16,v_lnp_sa2,v_alp_sa2,v_t_sa2,p_lnp_sa2,p_alp_sa2,p_lnp_sa2_16,swing,coal,mining,coal_lab,min_lab
Churchill - Yamanto,31285,1740.896082,1728.649493,3469.545575,50.18,49.82,42.21,7.97,0.871313672922252,1.2734584450402144,coal,non_mining
Wambo,31183,6688.113287,1815.242637,8503.355924,78.65,21.35,70.69,7.96,0.9995835068721367,2.6100236012772458,coal,mining
Tennant Creek,71056,432.3678355,662.2989345,1094.66677,39.5,60.5,31.55,7.95,0,0,non_coal,non_mining
Banana,31528,2573.544313,1104.809671,3678.353984,69.96,30.04,62.02,7.94,13.764591439688717,15.904669260700388,coal,mining
Mount Warren Park,31309,1553.207568,1154.592224,2707.799792,57.36,42.64,49.47,7.89,0.21862702229995626,0.3935286401399213,non_coal,non_mining
Chambers Flat - Logan Reserve,31313,1380.271025,1016.058889,2396.329914,57.6,42.4,49.75,7.85,0,0.22133687472332889,non_coal,non_mining
Mount Isa,31405,4585.226846,3076.109946,7661.336792,59.85,40.15,52.01,7.84,0.21097046413502107,32.442569151429915,non_coal,mining
Biloela,31529,1483.701003,1080.681861,2564.382864,57.86,42.14,50.04,7.82,15.091520358610385,15.539783339559207,coal,mining
Wangi Wangi - Rathmines,11220,2641.304285,2932.157759,5573.462044,47.39,52.61,39.62,7.77,4.011220196353436,4.908835904628331,coal,mining
Rothwell - Kippa-Ring,31380,4925.355675,3536.076217,8461.431892,58.21,41.79,50.44,7.77,0.36496350364963503,0.8092668993970167,non_coal,non_mining
Maclean - Yamba - Iluka,11082,6894.017438,3785.203642,10679.22108,64.56,35.44,56.81,7.75,0.15914064054107818,0.517207081758504,non_coal,non_mining
Belmont South - Blacksmiths,11207,1596.596268,1960.828357,3557.424625,44.88,55.12,37.13,7.75,2.2156573116691285,2.363367799113737,coal,mining
Jamisontown - South Penrith,11461,5040.311975,4055.485748,9095.797723,55.41,44.59,47.7,7.71,0,0.1846478501714587,non_coal,non_mining
Hadspen - Carrick,61056,1118.103306,882.5132751,2000.6165811,55.89,44.11,48.2,7.69,0,0.20270270270270271,non_coal,non_mining
Beresfield - Hexham,11223,1742.996671,2961.875114,4704.871785,37.05,62.95,29.39,7.66,1.9719251336898396,2.740641711229946,coal,mining
Boondall,31035,2134.501081,2450.165012,4584.666093,46.56,53.44,38.91,7.65,0.2339728591483388,0.772110435189518,non_coal,non_mining
Halls Creek,51264,235.2529024,394.8632413,630.1161437000001,37.33,62.67,29.68,7.65,0,2.2399999999999998,non_coal,mining
Kingswood - Werrington,11462,4914.398997,4497.558899,9411.957896,52.21,47.79,44.6,7.61,0.04757373929590866,0.2021883920076118,non_coal,non_mining
Towong,21072,2385.440164,1134.114478,3519.554642,67.78,32.22,60.18,7.6,0,0,non_coal,non_mining
Lockyer Valley - East,31280,5913.191865,3339.236997,9252.428862,63.91,36.09,56.32,7.59,0.4081058260624824,1.3228257810301154,non_coal,non_mining
Horsley Park - Kemps Creek,11518,1513.084076,760.7037794,2273.7878554,66.54,33.46,58.96,7.58,0,0.3294892915980231,non_coal,non_mining
Gordonvale - Trinity,31148,2577.684197,1895.082479,4472.766676,57.63,42.37,50.06,7.57,0.4123144584936778,2.583837273227048,non_coal,mining
Gympie - North,31512,5033.504246,2628.758039,7662.262285000001,65.69,34.31,58.14,7.55,0.5878510777269758,1.3716525146962768,coal,non_mining
Miles - Wandoan,31175,1255.692318,278.7624818,1534.4547997999998,81.83,18.17,74.33,7.5,0.9917355371900827,5.5096418732782375,coal,mining
Eagleby,31307,2975.03559,2451.323316,5426.3589059999995,54.83,45.17,47.34,7.49,0.1514004542013626,0.47943477163764825,non_coal,non_mining
Casino Region,11245,2599.441913,1439.407362,4038.849275,64.36,35.64,56.88,7.48,0,0.40535062829347385,non_coal,non_mining
Kilcoy,31370,1227.603304,653.4976051,1881.1009091,65.26,34.74,57.79,7.47,0.5151983513652756,1.545595054095827,non_coal,non_mining
Tinana,31526,2040.904623,1283.857808,3324.762431,61.38,38.62,53.91,7.47,0.7792207792207793,1.6623376623376624,coal,non_mining
Port Pirie Region,41123,1171.221595,616.8347323,1788.0563273,65.5,34.5,58.03,7.47,0.23942537909018355,3.1125299281723864,non_coal,mining
Taylors Lakes,21340,4207.727228,5454.352505,9662.079732999999,43.55,56.45,36.11,7.44,0,0.070298769771529,non_coal,non_mining
Beaudesert,31305,4631.273938,2241.114306,6872.388244,67.39,32.61,59.95,7.44,0.34267284821608546,1.5521064301552108,non_coal,non_mining
Boyne Island - Tannum Sands,31531,2440.254657,2671.853082,5112.107739,47.73,52.27,40.29,7.44,1.2192262602579134,3.8686987104337636,coal,mining
Agnes Water - Miriam Vale,31530,1791.207526,1302.376471,3093.5839969999997,57.9,42.1,50.47,7.43,2.410901467505241,4.140461215932914,coal,mining
Riverside,61046,2213.799071,1808.703338,4022.5024089999997,55.04,44.96,47.61,7.43,0,0.35650623885918004,non_coal,non_mining
Merredin,51240,1811.654395,491.9601268,2303.6145218,78.64,21.36,71.22,7.42,0,2.3255813953488373,non_coal,mining
Mount Isa Region,31406,831.6175005,396.318608,1227.9361085,67.72,32.28,60.32,7.4,0,25.78981302385558,non_coal,mining
Keilor Downs,21332,2684.926627,4359.18142,7044.108047,38.12,61.88,30.73,7.39,0,0,non_coal,non_mining
