SA2_5digitcode_2016,ALP_TPP_2019,LNP_TPP_2019,ALP_TPP_2019_pc,LNP_TPP_2019_pc,ALP_TPP_2016_pc,LNP_TPP_2016_pc,ALP_TPP_swing,LNP_TPP_swing
11073,767.2952359,1259.719209,37.85,62.15,44.68,55.32,-6.83,6.83
11074,2018.854219,4074.823618,33.13,66.87,34.2,65.8,-1.07,1.07
11075,0.378010139,0.559885932,40.3,59.7,52.59,47.41,-12.29,12.29
11076,1451.000112,2928.079325,33.13,66.87,33.92,66.08,-0.79,0.79
11077,4097.798885,7134.830991,36.48,63.52,32.57,67.43,3.91,-3.91
11078,4219.614438,7696.29406,35.41,64.59,31.41,68.59,4,-4
11079,2179.394672,4972.701986,30.47,69.53,27.54,72.46,2.93,-2.93
11080,3996.667238,7304.034967,35.37,64.63,47.55,52.45,-12.18,12.18
11081,3364.973972,6262.896154,34.95,65.05,46.27,53.73,-11.32,11.32
11082,3785.203642,6894.017438,35.44,64.56,43.19,56.81,-7.75,7.75
11083,2070.339604,1351.617542,60.5,39.5,57.71,42.29,2.79,-2.79
11084,4043.73446,5862.30906,40.82,59.18,38.89,61.11,1.93,-1.93
11085,2359.606965,3390.13173,41.04,58.96,39.68,60.32,1.36,-1.36
11086,869.6213341,1264.780644,40.74,59.26,42.23,57.77,-1.49,1.49
11087,738.0007138,998.5457369,42.5,57.5,41.9,58.1,0.6,-0.6
11088,2134.301549,3100.494351,40.77,59.23,41.51,58.49,-0.74,0.74
11089,4707.975933,6920.928534,40.49,59.51,37.62,62.38,2.87,-2.87
11090,1279.120698,1586.27013,44.64,55.36,42.86,57.14,1.78,-1.78
11091,3023.052209,3994.60239,43.08,56.92,47.85,52.15,-4.77,4.77
11092,671.9006116,885.5548482,43.14,56.86,40.39,59.61,2.75,-2.75
11093,731.0779449,1472.22248,33.18,66.82,32.02,67.98,1.16,-1.16
11094,920.2469714,1068.134292,46.28,53.72,39.36,60.64,6.92,-6.92
11095,712.3507389,1756.272762,28.86,71.14,30.49,69.51,-1.63,1.63
11096,1035.725437,1479.721989,41.17,58.83,43.12,56.88,-1.95,1.95
11097,6649.832597,3955.230778,62.7,37.3,66.39,33.61,-3.69,3.69
11098,468.9136149,338.3709711,58.09,41.91,63.73,36.27,-5.64,5.64
11099,1647.404765,2549.929434,39.25,60.75,33.49,66.51,5.76,-5.76
11100,1807.16534,4093.178064,30.63,69.37,29.68,70.32,0.95,-0.95
11101,3068.673913,7064.077055,30.28,69.72,29.04,70.96,1.24,-1.24
11102,1528.131015,3688.589243,29.29,70.71,29.67,70.33,-0.38,0.38
11103,967.0806119,2453.017011,28.28,71.72,27.95,72.05,0.33,-0.33
11104,681.5954242,1718.119039,28.4,71.6,29.92,70.08,-1.52,1.52
11105,971.7362755,2577.252559,27.38,72.62,28.24,71.76,-0.86,0.86
11106,1475.566018,2936.903465,33.44,66.56,35.73,64.27,-2.29,2.29
11107,3112.464136,2925.667532,51.55,48.45,63.28,36.72,-11.73,11.73
11108,6648.147263,5257.808645,55.84,44.16,70.06,29.94,-14.22,14.22
11109,2471.999921,2051.467201,54.65,45.35,65.57,34.43,-10.92,10.92
