SA1_7DIG16,state_ab,div_nm,v_lnp_sa1,v_alp_sa1,v_t_sa1,p_lnp_sa1,p_alp_sa1,swing
4102109,SA,Adelaide,145.6,206.5,352.1,41.36,58.64,1.95
4102110,SA,Adelaide,116.2,162.8,279,41.64,58.36,2.31
4102111,SA,Adelaide,147.6,176.9,324.5,45.48,54.52,1.72
4102113,SA,Adelaide,99.97,134,233.97,42.72,57.28,0.88
4102114,SA,Adelaide,105.8,130.7,236.5,44.72,55.28,1.82
4102115,SA,Adelaide,71.43,90.5,161.93,44.11,55.89,2.17
4102116,SA,Adelaide,116.3,156.4,272.7,42.66,57.34,0.6
4102117,SA,Adelaide,144.9,148.5,293.4,49.39,50.61,5.17
4102118,SA,Adelaide,133.9,135.1,269,49.77,50.23,4.61
4102119,SA,Adelaide,189.3,203.1,392.4,48.24,51.76,1.92
4102120,SA,Adelaide,109.5,113.8,223.3,49.03,50.97,1.17
4102121,SA,Adelaide,185.3,206.6,391.9,47.29,52.71,1.87
4102122,SA,Adelaide,165.2,182.3,347.5,47.54,52.46,3.26
4102123,SA,Adelaide,70.17,92.83,163,43.05,56.95,0.74
4102124,SA,Adelaide,86.41,98.38,184.79,46.76,53.24,2.72
4102125,SA,Adelaide,176.1,181.4,357.5,49.26,50.74,4.91
4102126,SA,Adelaide,143.6,186.7,330.29999999999995,43.47,56.53,0.91
4102127,SA,Adelaide,129,155.4,284.4,45.36,54.64,1.43
4102128,SA,Adelaide,119.2,143.8,263,45.31,54.69,2.01
4102129,SA,Adelaide,106.3,108.7,215,49.44,50.56,3.83
4102130,SA,Adelaide,83.63,112,195.63,42.74,57.26,1.8
4102131,SA,Adelaide,66.26,86.24,152.5,43.45,56.55,2.39
4102132,SA,Adelaide,98.44,139.3,237.74,41.41,58.59,1.69
4102133,SA,Adelaide,105.2,140.7,245.89999999999998,42.78,57.22,0.83
4102134,SA,Adelaide,110.4,156.7,267.1,41.33,58.67,1.83
4102135,SA,Adelaide,58.88,76.41,135.29,43.52,56.48,1.03
4102201,SA,Adelaide,183.7,149.5,333.2,55.13,44.87,-0.01
4102202,SA,Adelaide,134.4,108.3,242.7,55.37,44.63,-0.89
4102203,SA,Adelaide,224.1,186.2,410.29999999999995,54.62,45.38,-1.79
